Block,Variable,Code,Type,Unit,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
External,Exports goods,X_GOODS,Collect,USD,CBS,6264181.279,4572701.473,7248835.935,8772713.297,10682031.82,14369177.29,20491481.9,24489135.66,30520697,39460689.29,50761576.79,60329347.37,73956073.89,95395336.96,119753143,151922102.7,195455369.2,246964663,323765551.7,433383813.5,544659538.5,720541679.3,961248928.1,846064880.5,957370957.3,1089471579,1206668142,1094601770,1203193215,1157150442,1178000000,1378676991,1567191740,2222215339,3161314159
External,Imports goods,M_GOODS,Collect,USD,CBS,69102680.75,31938671.75,46902774.33,62319920.88,66199382.94,81277401.34,99230715.65,119278059,145775848.5,188302499.6,228282641.8,282523791.1,344748307.9,406871071.1,488590504.7,600051746.9,694938760.9,926421639.2,1178647992,1535952762,1927320301,2500709532,3281542715,2910724968,3346975403,3895748490,4304534922,4717395429,5133792214,5104023256,5353000000,5662416751,6725980452,7992514324,10271192787
External,Exports services,X_SERV,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655795552.8382584,675369775.8679004,369919656.4900564,558416001.0324373,678923051.1038195,974308444.729247,1360600020.4160912
External,Imports services,M_SERV,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1868027708.2524068,-2047280747.8515587,-1322730102.278872,-1755929753.3694792,-2075427136.71275,-2127986918.0759866,-2722291724.9923296
External,Primary income credit,PRI_INC_CR,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54964752.06665894,86775037.5268629,101428701.51794906,121717173.6453738,132025967.3585505,147303740.2287549,481279478.28837144
External,Primary income debit,PRI_INC_DB,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25548987.63037959,-30208407.654026628,-38119757.298851475,-57520500.28240225,-220475321.17406583,-232710469.94355384,-196891503.9573602
External,Secondary income credit,SEC_INC_CR,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2560239432.350525,3109447304.7000446,3149412059.5463796,3862876801.3626876,4936899301.376589,4845583990.270072,4930607087.366353
External,Secondary income debit,SEC_INC_DB,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-377275982.2867896,-489266708.0998399,-639789825.4151381,-855095522.8650432,-1070851084.0183755,-1023026380.9492806,-1352579168.0618012
External,Remittances,REM,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690987878.6838148,611013384.6816347,717085076.5682108,870511783.8277873,1579000000,825993872.5256565,876161182.6872398
External,Capital account balance,KAB,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146442598.03166324,189411908.59552744,1015796522.6028473,328144803.16260237,443038437.09071815,2024709093.263792,1825764919.4603486
External,Financial account balance,FAB,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-592512782.1311896,-274712665.0832597,-1271954394.9892108,-544544086.198288,-450656580.1609611,-1871020157.0895002,-2008053745.8100562
External,FDI net,FDI_NET,Collect,USD (Current),CBS,5590000,-150000,-60000,2000000,1000000,1000000,1300000,1100000,40000,-810000,270000,40000,140000,-850000,-4790000,24000000,96000000,141000000,87000000,108000000,112000000,102000000,107330000,258000000,261000000,303000000,330000000,369000000,408000000,447000000,534000000,601000000,636000000,676500000,765000000
External,Portfolio investment net,PORT_NET,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External,Other investment net,OINV_NET,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000512782.1311896,721712665.0832597,1805954394.9892108,1145544086.198288,1086656580.1609612,2548020157.0895,2773053745.810056
External,Change in reserves,DRES,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20786436.3,59620000,98444770.79,144301700.36,20399315.320000034,66801102.22000002,62379078.849999994
External,Gross reserves,RESERVES,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20786436.3,59620000,98444770.79,144301700.36,20399315.320000034,66801102.22000002,62379078.849999994
External,Exchange rate average,NER_AVG,Collect,NC/USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23954.184425451094,25064.62775403609,25761.1721747388,26039.009639126307,26832.5196908935,27225.30823189154,28117.829636104634
External,Exchange rate end-period,NER_EOP,Collect,NC/USD,CBS,,,,,,,,,,,,,,,,,,,,31558.9054783951,31269.6625712251,29966.8354404084,22516.0002967711,19283.7999504521,20230.9291310541,22254.2356837607,23061.7843138651,23097.9873219373,,,,,,,
External,NEER,NEER,Collect,Index,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External,REER,REER,Collect,Index,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External,Import price index,PM,Collect,Index,WDI,7.3806532479,4.8331535684,4.3536178058,3.9245977444,3.452966414,24.3590909066,26.8181818173,28.4545454526,25.454545452,30.9272727259,31.1809090883,40.8181818036,41.2736363537,46.9999999869,55.4545454613,16.4,23.4,22.8,38.6,35,49.3,68.8,76.1,85.5,94.4,100,110,134.4,136.8,156,169.4,171.3,199.7,194,207.3130749831694
External,Export price index,PX,Collect,Index,WDI,34.0940888536,20.6837472366,26.8206832298,26.5933893054,30.9119738948,38.6340909122,42.5000000022,40.2250000009,44.7749999991,43.4090909113,43.8636363658,64.7727272837,67.5022727263,50.6818182059,40.9090909091,29,49.1,27.4,31.7,40.7,53.4,70.1,69.6,93.1,100.8,100,92.4,69.7,80.2,85.6,77,57.3,97.5,112.7,161.0183283662236
External,Trade balance,TBAL,Compute,USD,CBS,-62838499.471,-27365970.277,-39653938.395,-53547207.583,-55517351.12,-66908224.05,-78739233.75,-94788923.34,-115255151.5,-148841810.31,-177521065.01,-222194443.73,-270792234.01,-311475734.14,-368837361.7,-448129644.2,-499483391.7,-679456976.2,-854882440.3,-1102568948.5,-1382660762.5,-1780167852.7,-2320293786.9,-2064660087.5,-2389604445.7,-2806276911,-3097866780,-3622793659,-1406775737.909335,-1224222290.280541,-2482350241.231071,-1969394005.598083,-2404438524.183431,-2668003622.194767,-3026986882.591579
External,Current account balance,CAB,Compute,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1256915354.9651327,-1185474070.3629105,-959240321.8172677,-1352168371.3275962,-1926855798.0491915,-2209889730.745972,-2493789977.936874
External,Terms of trade,TOT,Compute,Index,WDI,,,,,,,,,,,108.9985463506,109.3726944338,108.5477731068,112.3174909388,113.8530545029,87.1,88.3,95.2,88.8,85.5,94.8,94.5,97.1,102.4,108.8,100,93.9,101.9,102.9,105.5,112,120.9,117,117.4,115.707135373587
External,World GDP N,W_NGDP,Collect,USD,WDI,22922751084575.016,23920903881560.85,25546959069356.777,25974923485795.527,27961448359307.64,31245419629026.04,31968950237590.74,31870560107975.71,31733749169046.688,32782827769545.305,33898156427205.85,33690417699612.68,34991525564916.91,39243276986261.89,44225384449869.72,47900489808168.8,51923507284495.984,58525785801185.8,64311729364641.31,60982255960004.41,66811191491614.93,74309709353789.27,75960594595757.05,78034892841179.12,80054888775431.12,75621913961646.06,76831684012526.19,81839102917044.67,87050964956078.42,88483262418196.69,85912761035231.23,98140475264975.78,102251524725531.34,106741647821063.98,110982661180013.44
External,World GDP R,W_RGDP,Collect,USD,WDI,35945880219087.11,36390873910981.29,37149005453487.664,37851113313325.45,39135896985992.01,40374390922535.39,41824891712125.02,43483502334138.336,44715003412067.11,46315964796815.195,48425685628052.234,49412868939567.59,50554835407744.37,52118918453371.34,54465231584489.7,56673544164731.875,59210348113404.47,61823800945165.39,63117398807667.05,62285101784074.805,65103029475797.81,67276821813552.29,69114292959206.67,71110411922590.16,73338313563659.03,75621913961646.12,77734481755129.28,80417743987091.39,83050587362222.73,85275610244218.06,82803280050477.73,88113743893149.95,91112302917180.77,93798835497645.27,96492690817960.55
